""	10
"advocates"	36
"advocating"	7
"advocation"	1
"aegean"	1
"aerial"	4
"aerobic"	1
"aesthetic"	1
"aesthetics"	2
"affable"	2
"affair"	11
"affaire"	1
"affairs"	16
"affect"	11
"affected"	9
"affecting"	3
"affectionate"	1
"affects"	1
"affidavit"	8
"affidavits"	2
"affiliate"	3
"affiliated"	1
"affiliation"	1
"affinity"	5
"affirm"	2
"affirmation"	1
"affirmations"	1
"affirmed"	1
"affirming"	2
"affirms"	2
"affixed"	1
"afflicted"	2
"afflicts"	4
"affluence"	1
"affluent"	4
"afford"	6
"affordable"	2
"afforded"	3
"affront"	1
"afghan"	3
"afghani"	1
"afghanistan"	13
"afghanistans"	1
"afield"	1
"afloat"	2
"afoot"	1
"aforementioned"	1
"afraid"	14
"africa"	8
"african"	42
"afro"	1
"afterlives"	1
"aftermath"	12
"afternoon"	31
"afternoons"	1
"afterward"	9
"afterwards"	2
"ag"	1
"agamemnon"	1
"agard"	7
"agassi"	4
"age"	63
"aged"	6
"agencies"	7
"agency"	37
"agencys"	1
"agenda"	12
"agent"	23
"agents"	24
"ages"	12
"aggies"	11
"aggravate"	1
"aggravated"	9
"aggregation"	1
"aggression"	2
"aggressive"	13
"aggressively"	5
"aggressiveness"	2
"aggressor"	1
"aghayere"	1
"agile"	1
"agility"	1
"aging"	5
"agitated"	1
"agitating"	2
"agnieszka"	1
"agnostic"	1
"ago"	80
"agonized"	1
"agony"	1
"agree"	23
"agreeable"	1
"agreed"	30
"agreeing"	2
"agreement"	38
"agreements"	8
"agrees"	8
"agricultural"	1
"agriculture"	3
"aground"	1
"ah"	2
"ahead"	62
"aheadsome"	1
"ahmed"	3
"ahmedzai"	1
"ahold"	1
"aid"	8
"aide"	11
"aided"	5
"aides"	15
"aiding"	16
"aids"	3
"aiera"	12
"aileen"	1
"ailes"	2
"ailing"	3
"ailments"	1
"aim"	5
"aimed"	18
"aiming"	3
"air"	44
"airball"	4
"airballed"	1
"airborne"	5
"aircraft"	7
"aired"	2
"airing"	3
"airlifted"	1
"airline"	2
"airlines"	1
"airm"	1
"airness"	1
"airplane"	4
"airplanes"	1
"airport"	9
"airs"	1
"airtime"	3
"aisle"	1
"aja"	4
"ak"	3
"akbar"	5
"akela"	2
"akin"	1
"akinmusire"	1
"al"	46
"ala"	7
"alabama"	14
"alabamas"	3
"alain"	3
"alamodome"	1
"alan"	7
"alana"	2
"alarm"	4
"alarmed"	1
"alarming"	1
"alas"	1
"alaska"	5
"alaskahawaiinoncitizen"	1
"albany"	22
"albee"	10
"albeit"	4
"albert"	2
"alberto"	3
"albion"	1
"album"	12
"albums"	1
"albury"	1
"alcohol"	12
"alcoholic"	1
"alcoholism"	1
"alden"	2
"alderson"	6
"aldrich"	3
"aldridge"	27
"aldridges"	5
"ale"	1
"alecia"	2
"alegr\u00eda"	1
"alejandro"	1
"aleksander"	1
"aleksei"	1
"alert"	5
"alerted"	1
"alex"	11
"alexa"	2
"alexander"	10
"alexandre"	5
"alexandria"	3
"alexie"	2
"alexis"	5
"alfred"	1
"alfredo"	1
"algonquin"	1
"algorithm"	1
"algorithms"	3
"alhadeff"	2
"ali"	6
"alias"	1
"alibi"	2
"alice"	6
"alicia"	1
"alien"	6
"alienated"	1
"alienating"	1
"alienation"	1
"aliens"	1
"alighieris"	2
"aligned"	1
"alike"	7
"alimentation"	1
"alison"	3
"alissa"	2
"alito"	1
"alive"	24
"alkaline"	1
"allah"	2
"allahu"	5
"allegation"	1
"allegations"	20
"allege"	2
"alleged"	23
"allegedly"	14
"alleges"	4
"allegiance"	7
"alleging"	2
"allen"	31
"allentown"	1
"alleviate"	1
"alley"	8
"alleyways"	1
"alliance"	3
"allied"	2
"allies"	17
"allison"	3
"alliteration"	1
"allman"	6
"allmans"	1
"allmon"	3
"allocated"	1
"allonzo"	1
"allotment"	1
"allow"	33
"allowed"	31
"allowing"	13
"allows"	7
"alloy"	2
"alluring"	1
"allusions"	1
"ally"	3
"alma"	1
"almena"	2
"almond"	1
"almost"	86
"aloft"	1
"alone"	33
"along"	106
"alongside"	20
"alonso"	2
"alonzo"	4
"aloof"	1
"aloud"	4
"alphabet"	3
"alphabetical"	2
"already"	87
"alsatian"	1
"also"	536
"alt"	1
"alter"	8
"alterations"	1
"altercation"	7
"altercations"	1
"altered"	3
"altering"	2
"alternating"	2
"alternative"	5
"alternatively"	1
"although"	47
"altis"	2
"altitude"	2
"alto"	1
"altogether"	3
"alton"	26
"altunyay"	2
"aluminum"	3
"alumni"	4
"alumnimichigan"	1
"alumnus"	1
"alvin"	4
"alwadaei"	10
"alwadaeis"	2
"always"	121
"aly"	3
"alyssa"	1
"am\u00e9rica"	2
"amal"	1
"amanda"	3
"amanze"	1
"amaral"	1
"amass"	2
"amassed"	1
"amateur"	2
"amazement"	1
"amazing"	15
"amazon"	52
"amazons"	1
"ambassador"	12
"ambassadors"	4
"ambience"	1
"ambient"	1
"ambiguity"	1
"ambiguous"	5
"ambition"	1
"ambitions"	4
"ambitious"	9
"ambivalent"	1
"ambler"	2
"ambling"	1
"ambrose"	1
"ambush"	1
"ambushed"	1
"amc"	2
"ame"	1
"ameliorate"	1
"ameliorates"	1
"amen"	2
"amend"	2
"amended"	1
"amending"	1
"amendment"	84
"amendments"	4
"america"	94
"american"	248
"americanairlines"	1
"americanization"	1
"americanizing"	1
"americanos"	1
"americans"	86
"americas"	5
"amerispeak"	1
"ames"	2
"amherst"	2
"amia"	2
"amid"	25
"amin"	4
"aminah"	1
"amino"	1
"aminu"	4
"amir"	3
"amira"	1
"amirtha"	1
"amiss"	1
"amlen"	3
"ammo"	2
"ammunition"	30
"amnesia"	1
"amnesty"	3
"amnestying"	1
"among"	132
"amorality"	1
"amos"	1
"amount"	18
"amounts"	3
"ampat"	1
"amphetamine"	1
"ample"	1
"amplified"	2
"amply"	1
"amputated"	1
"amrutha"	1
"amsterdam"	1
"amused"	1
"amusement"	3
"amusing"	2
"amy"	4
"ana"	4
"anabolic"	2
"anachronistic"	1
"anaheim"	6
"anaheims"	1
"analog"	1
"analogous"	1
"analysis"	13
"analyst"	25
"analysts"	34
"analytica"	11
"analyticafacebookf"	1
"analytical"	3
"analytically"	1
"analytics"	2
"analyze"	4
"analyzed"	1
"analyzes"	1
"analyzing"	3
"anarchic"	2
"anarchists"	1
"anatoly"	1
"anatomical"	1
"anatomy"	1
"anbang"	2
"ancestors"	5
"anchor"	6
"anchorage"	4
"anchored"	1
"anchors"	1
"ancient"	8
"anderman"	1
"anderson"	11
"andrade"	1
"andre"	4
"andreas"	1
"andrei"	1
"andrej"	1
"andrew"	39
"andrika"	1
"android"	2
"andy"	6
"anecdote"	2
"anecdotes"	1
"anew"	1
"angel"	20
"angela"	1
"angelenos"	1
"angeles"	109
"angeleswhy"	1
"angelica"	1
"angelo"	3
"angels"	8
"anger"	26
"angered"	2
"angest"	1
"angkor"	2
"angle"	5
"angles"	2
"angola"	2
"angrier"	2
"angrily"	2
"angry"	24
"angst"	1
"anguish"	4
"anguished"	2
"anibal"	1
"animal"	6
"animals"	9
"animated"	4
"animatedly"	1
"animating"	1
"animation"	3
"animus"	2
"ankh"	1
"ankle"	29
"ankleantetokounmpo"	1
"ankles"	5
"ann"	10
"anna"	6
"anne"	6
"annexation"	2
"annexed"	2
"annie"	3
"annihilate"	1
"annihilation"	1
"anniversary"	14
"annotated"	1
"announce"	2
"announced"	80
"announcement"	18
"announcements"	2
"announcer"	1
"announcing"	9
"annoyed"	2
"annoying"	1
"annual"	14
"annually"	2
"anointed"	1
"anomalous"	1
"anonymity"	5
"anonymous"	7
"anonymously"	2
"another"	231
"anriel"	3
"ansar"	1
"answer"	38
"answered"	18
"answering"	3
"answers"	16
"antagonists"	1
"antarctica"	1
"antetokounmpo"	4
"anthem"	5
"anthony"	49
"anti"	42
"antiballistic"	3
"antiblackness"	1
"anticipate"	1
"anticipated"	2
"anticipating"	2
"anticipation"	3
"anticipatory"	1
"anticolonial"	1
"antidoping"	6
"antipathy"	1
"antipodean"	2
"antipodes"	2
"antique"	2
"antiques"	1
"antithesis"	1
"antithetical"	1
"antitrust"	3
"antiwar"	10
"antoine"	1
"antonin"	1
"antonio"	62
"antonioni"	1
"antonios"	2
"antonov"	1
"antoon"	1
"antropofagia"	1
"ants"	1
"anunoby"	1
"anxiety"	7
"anxious"	6
"anybody"	30
"anybodys"	1
"anymore"	12
"anyone"	55
"anyones"	1
"anything"	76
"anythings"	1
"anytime"	7
"anyway"	15
"anywhere"	14
"anze"	1
"ap"	50
"apart"	7
"apartment"	19
"apartments"	2
"apathetic"	3
"apatow"	2
"apex"	1
"apg"	21
"apiece"	3
"aplomb"	1
"apnews"	3
"apocalyptic"	1
"apologize"	7
"apologized"	15
"apologizing"	1
"apology"	12
"apos"	7
"app"	10
"appalled"	2
"appalling"	1
"apparel"	1
"apparent"	11
"apparently"	19
"appeal"	11
"appealed"	5
"appealing"	8
"appeals"	9
"appear"	22
"appearance"	26
"appearances"	7
"appeared"	44
"appearing"	3
"appears"	51
"appellate"	1
"appendix"	1
"appetite"	4
"appetites"	1
"applaud"	7
"applauded"	2
"applauding"	2
"applauds"	1
"applause"	6
"apple"	22
"applebees"	1
"apples"	5
"applicable"	1
"applicant"	3
"applicants"	2
"application"	8
"applications"	2
"applied"	8
"applies"	1
"apply"	10
"applying"	1
"appoint"	3
"appointed"	4
"appointment"	9
"appointments"	1
"appraisal"	3
"appreciate"	9
"appreciated"	7
"appreciation"	4
"appreciative"	4
"apprenticed"	1
"approach"	31
"approachable"	1
"approached"	20
"approaches"	5
"approaching"	5
"appropriate"	11
"appropriately"	2
"appropriations"	1
"approval"	19
"approve"	6
"approved"	13
"approving"	2
"approximate"	1
"approximately"	3
"apps"	1
"appy"	2
"apr"	1
"april"	71
"aptly"	2
"apuzzo"	1
"apuzzomarch"	1
"aqua"	1
"aquarium"	1
"ar"	22
"arabia"	9
"arabic"	1
"araki"	3
"arangomarch"	1
"arbiter"	2
"arbitrary"	1
"arbitration"	1
"arbitrator"	1
"arbor"	2
"arbuthnot"	4
"arc"	28
"arcady"	1
"arch"	3
"archaeologists"	1
"archbishop"	5
"archipelago"	1
"architect"	4
"architects"	1
"architecture"	3
"archive"	9
"archives"	3
"archivist"	1
"arcing"	1
"arctic"	8
"arduous"	1
"area"	62
"areas"	24
"arena"	54
"arenella"	1
"arent"	10
"argentina"	7
"argentine"	1
"arguably"	6
"argue"	14
"argued"	31
"argues"	9
"arguing"	6
"argument"	22
"argumentatively"	1
"arguments"	24
"ari"	2
"ariana"	3
"arica"	3
"arid"	2
"aridimarch"	1
"ariel"	2
"arike"	6
"arise"	2
"arisen"	1
"arithmetic"	1
"ariz"	2
"ariza"	2
"arizona"	30
"arizonas"	1
"ark"	3
"arkansas"	9
"arlington"	3
"arm"	26
"armament"	1
"armand"	1
"armed"	40
"armhole"	1
"armies"	3
"arming"	10
"armor"	2
"armored"	1
"armory"	2
"armour"	1
"armpit"	2
"arms"	28
"army"	18
"arnaud"	11
"arnaudbeltrame"	1
"arnie"	1
"arnold"	6
"arose"	3
"around"	224
"aroused"	1
"arowana"	2
"arpaio"	2
"arraignment"	1
"arraiy"	6
"arrange"	2
"arranged"	11
"arrangement"	1
"arrangements"	1
"arranging"	1
"array"	4
"arrest"	31
"arrested"	28
"arresting"	2
"arrests"	6
"arrieta"	1
"arrival"	5
"arrive"	12
"arrived"	36
"arriving"	10
"arrogant"	3
"arrow"	3
"arrows"	1
"ars"	1
"arsenal"	2
"arsenio"	1
"arson"	1
"art"	47
"artful"	1
"artfully"	1
"arthroscopic"	1
"arthur"	3
"article"	93
"articles"	10
"articulate"	1
"articulated"	1
"artifact"	1
"artifacts"	1
"artificial"	7
"artificially"	10
"artist"	15
"artistic"	8
"artists"	16
"arts"	9
"arturo"	1
"arvidsson"	1
"asadullah"	1
"asbury"	1
"ascend"	1
"asger"	1
"ashamed"	4
"ashes"	2
"ashley"	1
"ashton"	1
"ashy"	1
"asia"	11
"asian"	15
"aside"	9
"asides"	2
"ask"	39
"asked"	144
"asking"	40
"asks"	3
"asleep"	2
"aso"	1
"asp"	1
"aspas"	1
"aspect"	5
"aspects"	3
"aspirational"	1
"aspirations"	2
"aspired"	1
"aspires"	1
"aspirin"	1
"aspiring"	2
"ass"	1
"assailant"	1
"assailants"	3
"assailed"	4
"assailing"	1
"assassin"	5
"assassinate"	1
"assassinated"	6
"assassination"	10
"assassinations"	3
"assassins"	3
"assault"	69
"assaulted"	3
"assaulting"	4
"assaults"	2
"assemblage"	1
"assemble"	2
"assembled"	3
"assembles"	2
"assemblies"	1
"assembly"	17
"assemblyman"	2
"assemblywoman"	1
"asserted"	1
"asserting"	1
"assertion"	6
"assertive"	4
"assertively"	1
"asses"	1
"assess"	1
"assessing"	2
"assessment"	2
"assessments"	1
"asset"	4
"assets"	8
"assign"	1
"assigned"	8
"assignment"	4
"assimilation"	1
"assimilator"	1
"assist"	7
"assistance"	12
"assistant"	22
"assisting"	3
"assists"	65
"associate"	10
"associated"	272
"associates"	6
"association"	37
"associations"	1
"assorted"	1
"assortment"	2
"assume"	5
"assumed"	6
"assuming"	4
"assumption"	2
"assumptions"	1
"assure"	3
"assured"	5
"assures"	1
"aster"	1
"asthma"	1
"aston"	2
"astonished"	1
"astonishing"	6
"astor"	2
"astoria"	1
"astronaut"	1
"astros"	7
"astute"	1
"asylum"	2
"ata"	1
"atascocita"	1
"ate"	5
"atelian"	1
"atget"	3
"athlete"	5
"athletes"	26
"athletic"	14
"athletically"	1
"athleticism"	8
"athletics"	3
"atkins"	7
"atkinson"	2
"atlanta"	47
"atlantacharlotte"	1
"atlantas"	1
"atlantawhy"	1
"atlantic"	19
"atlantis"	2
"atmosphere"	4
"atomic"	2
"atoned"	1
"atop"	3
"atrocities"	3
"atrocity"	1
"attached"	1
"attaching"	1
"attachment"	1
"attack"	199
"attacked"	25
"attacker"	20
"attackers"	3
"attacking"	6
"attacks"	43
"attempt"	27
"attempted"	27
"attempting"	11
"attempts"	26
"attend"	15
"attendance"	8
"attendancealbany"	1
"attended"	37
"attendees"	2
"attending"	12
"attends"	2
"attention"	66
"attentive"	1
"attesting"	1
"attitude"	5
"attitudes"	3
"attorney"	163
"attorneys"	45
"attract"	7
"attracted"	7
"attracting"	1
"attraction"	3
"attractions"	1
"attractive"	4
"attributable"	1
"attribute"	1
"attributed"	9
"attributes"	2
"attributing"	1
"attribution"	1
"attuned"	1
"atypically"	1
"aubrey"	1
"auckland"	1
"auction"	1
"audacious"	1
"aude"	1
"audi"	1
"audible"	3
"audience"	32
"audiences"	3
"audio"	9
"audiobooks"	1
"audit"	3
"audition"	2
"auditioning"	1
"auditorium"	1
"auditory"	2
"audits"	1
"audra"	1
"audubon"	1
"aug"	3
"augmented"	1
"august"	20
"augusta"	5
"augustin"	1
"augustinian"	1
"auld"	1
"aundre"	1
"aunt"	5
"auntie"	1
"aunts"	1
"aura"	1
"auriemma"	19
"aurora"	1
"aussie"	1
"aussies"	1
"austere"	2
"austerity"	1
"austin"	24
"australia"	44
"australian"	22
"australianness"	1
"australians"	3
"australias"	3
"austrian"	3
"authentic"	2
"authentically"	2
"authentiquevie"	2
"author"	25
"authoritarian"	2
"authoritative"	1
"authorities"	87
"authority"	19
"authorization"	3
"authorized"	10
"authors"	3
"autism"	1
"autistic"	1
"auto"	7
"autobiographical"	1
"autocratic"	1
"automakers"	5
"automate"	3
"automated"	4
"automatic"	15
"automatically"	2
"automation"	2
"automatons"	1
"automobile"	1
"automobiles"	1
"automotive"	2
"autonomous"	7
"autopsy"	37
"autumn"	3
"ava"	1
"available"	25
"avalanche"	8
"avalos"	4
"avant"	3
"avenge"	4
"avenged"	1
"avenue"	15
"avenues"	1
"average"	30
"averaged"	13
"averages"	8
"averaging"	23
"avert"	2
"averted"	3
"averting"	2
"avery"	3
"aviara"	2
"aviations"	1
"avid"	4
"avocado"	1
"avocados"	2
"avoid"	21
"avoided"	8
"avoiding"	1
"avoids"	3
"avoyelles"	2
"await"	4
"awaiting"	2
"awaits"	4
"awake"	1
"awakened"	1
"awakening"	3
"awakens"	1
"award"	15
"awarded"	4
"awards"	6
"aware"	27
"awareness"	7
"awash"	4
"away"	150
"awayunderlining"	1
"awe"	2
"awesome"	1
"awestruck"	1
"awful"	2
"awfulness"	2
"awfy"	1
"awhile"	1
"awkward"	13
"awkwardness"	1
"awoke"	2
"awoken"	1
"awry"	2
"axed"	1
"axelrod"	1
"axios"	3
"ayako"	1
"ayanne"	1
"aye"	2
"aymen"	1
"ayton"	13
"ayyyy"	1
"azalea"	1
"azeri"	4
"azevedo"	5
"azidad"	1
"azubuike"	17
"azubuikes"	1
"azura"	3
"azusa"	1
"b"	1
"b\u00f4as"	1
"babe"	2
"babel"	1
"babies"	3
"baby"	12
"bach"	3
"bachelor"	3
"bachman"	1
"bachochin"	13
"back"	380
"backboard"	1
"backcountry"	1
"backcourt"	3
"backdoor"	2
"backdrop"	2
"backed"	18
"backfired"	2
"background"	63
"backgrounds"	8
"backhand"	3
"backing"	10
"backlash"	5
"backlog"	1
"backpack"	2
"backpacks"	2
"backs"	3
"backseat"	1
"backspin"	12
"backstabbing"	1
"backstage"	2
"backthe"	1
"backtrack"	1
"backtracking"	1
"backup"	6
"backups"	2
"backward"	5
"backwards"	1
"backwater"	1
"backyard"	52
"backyardpresident"	1
"bacon"	1
"bacteria"	1
"bad"	44
"badakhshan"	2
"badakhshans"	1
"bader"	1
"badge"	1
"badly"	8
"baek"	1
"bafflement"	1
"bag"	6
"baghdad"	1
"bagley"	22
"bagpipes"	1
"bags"	4
"bah"	2
"bahamas"	3
"bahrain"	4
"bahraini"	10
"bahrains"	3
"bahrami"	1
"bail"	8
"bailed"	1
"bailey"	1
"bailiwick"	1
"bailout"	1
"baird"	1
"bait"	1
"bajac"	1
"bajolet"	5
"bake"	1
"baked"	2
"baker"	25
"bakula"	1
"balagov"	1
"balance"	10
"balanced"	3
"balances"	5
"balcomb"	1
"balcony"	5
"baldfaced"	1
"balding"	1
"baldock"	2
"baldwin"	2
"balk"	1
"balkans"	1
"balked"	1
"ball"	97
"ballads"	1
"ballantyne"	1
"ballentine"	1
"ballistic"	6
"ballooned"	1
"balloons"	2
"ballot"	9
"ballots"	9
"ballpark"	3
"ballplayer"	1
"ballroom"	4
"balls"	4
"baltic"	1
"baltimore"	22
"baltimores"	1
"bamako"	1
"bamba"	2
"bamboo"	3
"bamileke"	1
"ban"	44
"bancorp"	1
"bancroft"	6
"band"	9
"bandiagara"	3
"bandiagaras"	1
"bandits"	1
"bandmate"	2
"bando"	3
"bands"	3
"bane"	3
"bang"	4
"banged"	1
"banging"	1
"bangkok"	1
"banister"	2
"banisters"	1
"banjo"	1
"bank"	28
"banked"	4
"banker"	3
"banking"	8
"bankruptcies"	3
"bankruptcy"	30
"banks"	15
"banned"	6
"banner"	2
"banning"	12
"bannon"	3
"bannonjohn"	1
"bannopwongsakul"	1
"bans"	11
"bantam"	1
"bantered"	1
"baptism"	1
"baptist"	7
"bar"	16
"barack"	8
"barajas"	4
"barb"	1
"barbara"	3
"barbaras\u00e3o"	1
"barbaric"	1
"barbaro"	1
"barber"	2
"barbers"	2
"barbershop"	4
"barboza"	1
"barbra"	1
"barcelona"	1
"barclays"	4
"bard"	1
"bare"	3
"barea"	1
"bareheaded"	1
"bareilles"	1
"barely"	11
"barema"	1
"barflies"	1
"bargain"	3
"bargaining"	3
"barge"	1
"baring"	1
"barked"	1
"barkley"	1
"barley"	2
"barn"	1
"barnard"	3
"barnes"	25
"barnett"	1
"barometer"	4
"baronial"	1
"baroque"	5
"barr"	4
"barracks"	1
"barrage"	3
"barrages"	1
"barred"	5
"barrel"	3
"barricaded"	3
"barricades"	3
"barrie"	1
"barrier"	2
"barriers"	3
"barring"	1
"barros"	1
"barrs"	1
"barry"	4
"bars"	7
"bart"	1
"bartending"	1
"bartlett"	2
"bartlow"	2
"barton"	3
"bartow"	1
"baruth"	1
"bas"	2
"base"	24
"baseball"	41
"baseballs"	2
"based"	70
"baseless"	2
"baseline"	2
"basemam"	1
"baseman"	2
"basement"	2
"bases"	6
"bashid"	1
"bashing"	3
"basic"	7
"basically"	10
"basie"	1
"basin"	1
"basis"	13
"bask"	1
"basket"	27
"basketball"	91
"basketballs"	3
"baskets"	16
"bass"	4
"bassist"	5
"bassists"	1
"bat"	5
"batchelder"	1
"batches"	1
"bates"	2
"bath"	1
"bathe"	1
"bathing"	1
"bathroom"	9
"bathtub"	4
"baton"	62
"batons"	1
"bats"	1
"batted"	3
"batter"	2
"battered"	1
"batterers"	1
"batteries"	1
"batters"	2
"battery"	6
"batting"	3
"battle"	23
"battled"	4
"battlefield"	1
"battlefields"	1
"battleoregon"	1
"battles"	4
"battling"	2
"bauchle"	1
"bauer"	2
"baumgaertner"	1
"baumopinionthe"	1
"bay"	20
"bayer"	1
"baylor"	21
"baylors"	4
"bays"	2
"bayside"	10
"bazaar"	2
"bazemore"	1
"bb"	2
"bbc"	4
"beach"	22
"beached"	1
"beaches"	3
"beachfront"	1
"beachy"	1
"beads"	1
"beal"	1
"beallsville"	1
"beam"	3
"bean"	3
"beans"	3
"bear"	16
"beard"	18
"bearer"	1
"bearers"	1
"bearing"	8
"bears"	10
"beasley"	9
"beast"	2
"beat"	81
"beaten"	8
"beating"	21
"beatles"	2
"beatriz"	3
"beaulieu"	1
"beautiful"	17
"beautifully"	3
"beauty"	10
"beaver"	1
"beavercreek"	1
"beavers"	14
"beavis"	6
"bebop"	1
"became"	80
"becerra"	14
"becerras"	1
"beck"	1
"becker"	2
"beckett"	1
"beckettian"	1
"beckham"	1
"beckoned"	1
"become"	113
"becomes"	14
"becoming"	23
"bed"	15
"bedard"	1
"bedding"	1
"bedeviling"	1
"bedier"	1
"bednar"	1
"bedrock"	3
"bedroom"	8
"bedrooms"	1
"beds"	1
"bee"	8
"beecher"	1
"beefy"	1
"beeping"	1
"beer"	13
"beers"	4
"beforehand"	3
"befriend"	3
"beg"	1
"began"	105
"begg"	1
"begged"	1
"begin"	29
"beginning"	37
"beginninga"	1
"begins"	13
"begor"	7
"begrudge"	1
"begrudgingly"	1
"begun"	11
"behalf"	6
"behavior"	34
"behaviors"	4
"behaviour"	1
"beheaded"	1
"beheadings"	2
"behemoth"	3
"behind"	123
"behm"	1
"beijing"	11
"beilein"	13
"beileins"	1
"beirut"	5
"bekmambetov"	1
"bel"	2
"belated"	5
"belatedly"	1
"beleaguered"	2
"belgium"	1
"belichick"	2
"belichicks"	1
"belief"	19
"beliefs"	16
"beliefsour"	1
"belies"	1
"believe"	136
"believed"	44
"believer"	1
"believes"	30
"believing"	4
"belittle"	1
"belkacemi"	3
"bell"	7
"bellafante"	2
"belligerent"	1
"bello"	1
"bells"	2
"belly"	3
"belmont"	2
"belong"	3
"belonged"	4
"belonging"	6
"belongings"	2
"belongs"	3
"beloved"	7
"belson"	1
"belt"	5
"belted"	1
"beltrame"	46
"beltrames"	2
