""	7
"admissions"	1
"admit"	15
"admits"	4
"admitted"	13
"admittedly"	1
"admitting"	7
"adndtdwuwb"	1
"ado"	1
"adobe"	1
"adogfromsinope"	1
"adolfo"	1
"adopted"	1
"adoptions"	2
"adorable"	2
"adorama"	2
"adoration"	1
"adore"	1
"adoreanala"	1
"adoring"	1
"adorned"	1
"adowniebrazil"	1
"adpocalypse"	2
"adreamisawishyourheartmakes"	1
"adrenaline"	2
"adressed"	1
"adrian"	1
"adrianastuijt"	1
"adrianpoly"	1
"ads"	29
"adub"	2
"adult"	64
"adulterous"	1
"adultery"	1
"adults"	26
"adurimuxgq"	1
"aduse"	1
"adv"	1
"advance"	10
"advanced"	8
"advanikiara"	1
"advantage"	14
"adventu"	1
"adventure"	6
"adventurers"	1
"adventures"	5
"adversary"	2
"adverse"	2
"adversity"	2
"advert"	2
"adverting"	1
"advertising"	49
"advertisingphotography"	1
"adverts"	1
"advice"	16
"advise"	3
"advised"	5
"adviser"	1
"advising"	1
"advisor"	1
"advisors"	1
"advisory"	1
"advocacy"	2
"advocate"	10
"advocateag"	1
"advocated"	2
"advocates"	4
"advocating"	24
"adx"	1
"adybarkan"	1
"adzkuwagkj"	1
"aectxmddjy"	1
"aegyo"	1
"aei"	1
"aeldhwtquk"	1
"aelumzgxfo"	1
"aerial"	1
"aero"	1
"aerostars"	1
"aerovironment"	1
"aesopsfablefly"	2
"aest"	1
"aesthetic"	4
"aesthetically"	1
"aesthetics"	4
"aewkytpdqh"	1
"aexrhuaciv"	1
"aeztbiyfcl"	1
"af"	18
"afaik"	1
"afar"	1
"afavor"	1
"afc"	1
"afcbusiness"	1
"afchkqomhg"	2
"afchornchurch"	1
"affair"	1
"affairs"	1
"affcart"	1
"affect"	9
"affected"	9
"affecting"	2
"affectionately"	1
"affects"	1
"affidavit"	2
"affiliation"	2
"affiliations"	1
"affleck"	1
"affluent"	1
"afford"	7
"affront"	1
"afgan"	2
"afghanistan"	7
"afjcmedia"	1
"afl"	1
"aflac"	1
"afloat"	1
"aflpowerlions"	1
"aflsunsfreo"	1
"aflyguy"	2
"afoswxodsl"	1
"afoywvjfar"	1
"afp"	2
"afr"	1
"afraid"	25
"afreedomist"	1
"afriad"	2
"africa"	15
"african"	15
"africanarchives"	2
"africanboer"	1
"africans"	1
"afridi"	1
"afriforum"	1
"afrikanermilitia"	1
"afro"	3
"aft"	1
"afte"	1
"afterdarkmusic"	1
"aftermath"	34
"afternoon"	37
"afterward"	4
"afterwards"	9
"afteryoutube"	1
"aftkiloalpha"	3
"aftunion"	1
"afzzckknas"	1
"ag"	5
"agahahahahah"	1
"againnn"	1
"againsthunting"	3
"agaisnt"	1
"agaouyhkzo"	1
"agbib"	1
"agconservative"	1
"age"	57
"aged"	2
"agencescoopagency"	2
"agencies"	6
"agency"	11
"agenda"	75
"agendas"	3
"agent"	11
"agentpatel"	1
"agents"	15
"agentsofshield"	6
"agentxthemovie"	1
"ages"	5
"aggie"	3
"aggiegolf"	1
"aggieup"	1
"aggravated"	2
"aggravating"	1
"aggree"	1
"aggression"	2
"aggressive"	10
"aggressively"	3
"aggressiveness"	2
"aggressor"	1
"aggressors"	1
"aghdam"	92
"aghdams"	6
"agian"	1
"agile"	1
"agility"	1
"agimcorp"	1
"agitate"	1
"agitated"	1
"agl"	1
"aglows"	1
"aglshooting"	1
"ago"	130
"agoghve"	1
"agony"	2
"agpambondi"	1
"agramon"	2
"agree"	97
"agreed"	12
"agreeing"	3
"agreement"	26
"agreements"	1
"agrees"	3
"agri"	1
"agricultural"	1
"agt"	2
"agubnlsfuq"	1
"aguero"	2
"agundling"	1
"aguyfromtx"	1
"ah"	16
"ahah"	1
"ahahahaha"	1
"ahahha"	1
"ahead"	39
"aheadonapillow"	1
"ahem"	2
"ahfzgoopnu"	1
"ahh"	2
"ahhh"	4
"ahhhh"	2
"ahhhhh"	1
"ahhhhhh"	1
"ahiteva"	1
"ahiumrqtps"	1
"ahl"	1
"ahmad"	2
"ahmadmonk"	3
"ahmed"	1
"ahmedaltaf"	1
"ahmnee"	7
"ahnfjhejyg"	1
"ahold"	1
"aholes"	1
"ahoycarolina"	1
"ahqllrhunx"	1
"ahrma"	1
"ahrsnskxll"	1
"ahs"	2
"ahsfx"	1
"ahstory"	1
"ahuggenkist"	2
"ahumorlessfem"	1
"ahunterlear"	1
"ahxsvtujyq"	1
"ahyygqhixv"	1
"ai"	9
"aicxlmzazl"	1
"aid"	10
"aidansitler"	1
"aide"	2
"aided"	1
"aiden"	1
"aidenprojects"	1
"aidenstarr"	1
"aides"	1
"aiding"	2
"aids"	4
"aigocgzblu"	1
"aiivangtay"	1
"aim"	51
"aimcamofficial"	1
"aimed"	7
"aimeefuller"	1
"aimeegarcia"	1
"aiming"	25
"aimless"	1
"aimlessly"	3
"aims"	25
"ainappatinunchi"	1
"ainge"	1
"ainsleytshoes"	1
"ainsliepaton"	1
"aint"	39
"aipac"	3
"aiqxuwmoaw"	1
"air"	87
"airballing"	2
"airballs"	3
"airbit"	1
"airbnb"	1
"aircadets"	1
"aircadetsnorth"	1
"aircraft"	7
"aircrafts"	1
"airdrie"	1
"airdrop"	1
"airdrops"	1
"aire"	1
"aired"	2
"aires"	2
"airforce"	1
"airgun"	6
"airguns"	1
"airgunshooter"	1
"airliner"	1
"airlines"	1
"airmaxday"	1
"airmaxgang"	1
"airpalanes"	1
"airplane"	6
"airplanes"	13
"airport"	6
"airports"	3
"airs"	1
"airsoft"	5
"airsoftaction"	1
"airsoftobsessed"	1
"airstream"	1
"airstrikes"	2
"airtime"	1
"airundamyfeet"	1
"airways"	1
"aisha"	1
"aisle"	3
"ait"	1
"aivd"	1
"aiyiocsagb"	1
"aizmeyfwnj"	1
"aj"	1
"ajarabic"	1
"ajayadivine"	4
"ajaydevgn"	3
"ajcpkbjwdi"	1
"ajctai"	1
"ajenglish"	4
"ajiathegreat"	1
"ajith"	5
"ajitpaifcc"	1
"ajkfan"	3
"ajmacready"	1
"ajplus"	4
"ajsantangelo"	1
"ajsbkakahshs"	1
"ajustinbreen"	1
"ajxnzfcvif"	1
"ajzelner"	1
"ak"	10
"aka"	16
"akagcmankl"	1
"akamehameha"	1
"akanekanem"	1
"akashmaroof"	1
"akaworldwide"	1
"akayed"	1
"akbar"	3
"akbzsyunin"	1
"akcrime"	2
"akdom"	2
"akebono"	1
"akechi"	1
"akeeelaa"	1
"akhbar"	1
"akhgepdudk"	2
"akhtar"	1
"akhtars"	1
"akijjnppmx"	1
"akillikejake"	1
"akima"	1
"akin"	2
"akina"	1
"aklzmclsuy"	1
"akminmd"	3
"akona"	1
"akrxbtuemj"	1
"aks"	2
"akshay"	1
"akt"	1
"aktar"	1
"aktphotos"	1
"aktwrtr"	1
"akvxqzpado"	1
"akytztrqqo"	1
"al"	28
"alabama"	7
"alabamaftbl"	1
"alabpilipinas"	1
"aladdin"	1
"alahuisnotakbar"	1
"alam"	1
"alameda"	1
"alamo"	1
"alan"	4
"alanacoryell"	2
"alanfrombigeasy"	1
"alanimallover"	1
"alannabennett"	1
"alannah"	2
"alanshearer"	1
"alanshipnuck"	1
"alansteinjr"	1
"alantherogue"	1
"alantudyk"	1
"alarm"	12
"alarming"	1
"alarms"	1
"alas"	1
"alaska"	1
"alawnguy"	2
"albabycakes"	2
"albany"	5
"albanytroy"	1
"albeit"	2
"albert"	1
"alberta"	6
"albertjitka"	1
"albertxpat"	1
"albiolxg"	1
"albion"	4
"albonetti"	1
"albtqpgrzx"	1
"album"	22
"albums"	1
"alcohol"	6
"alcoholic"	1
"aldean"	25
"aldrixxxxx"	1
"aldubtunaynaligaya"	1
"ale"	1
"alert"	19
"alerted"	4
"alerting"	3
"alerts"	10
"alessandratbh"	1
"aletheafkw"	2
"aletheiaoros"	1
"alex"	28
"alexa"	1
"alexanderplatz"	1
"alexandremazzia"	1
"alexandria"	6
"alexarosecarter"	2
"alexbkane"	6
"alexburnsnyt"	1
"alexcornitius"	1
"alexfusheng"	1
"alexiomeister"	3
"alexis"	4
"alexiumz"	1
"alexlynnart"	2
"alexoathletica"	1
"alexparrish"	1
"alexrstockwell"	1
"alexskunz"	3
"alexsoozy"	1
"alexsyse"	1
"alexthansf"	1
"alextiradophoto"	1
"alextomo"	1
"alexxxisadams"	1
"alexyablon"	1
"alf"	1
"alfredalbion"	2
"alfredwintle"	1
"alfrescos"	1
"alfvbubugr"	1
"alghadeertv"	1
"algorithm"	1
"algorithms"	2
"algoritmic"	2
"alhaqorg"	1
"ali"	6
"alia"	1
"aliabunimah"	1
"aliasshivani"	1
"alibi"	6
"alice"	5
"aliceengelmore"	1
"alicenmary"	2
"alicia"	2
"aliciakennedy"	1
"aliciatolbert"	2
"alickasamuel"	1
"alien"	7
"alienated"	1
"alienation"	1
"aliendimebag"	1
"aliens"	9
"alientemple"	1
"alight"	2
"align"	1
"aligned"	1
"alike"	4
"alikuwa"	1
"alina"	1
"alinaiv"	3
"alinsumarwata"	1
"alionthestreet"	1
"alioski"	1
"alishanmao"	1
"alitnatsu"	1
"alittlecorny"	1
"alittledimm"	2
"alive"	41
"aliwong"	1
"aliyah"	1
"aljazeera"	1
"allaboard"	3
"allah"	1
"allahu"	3
"allakbar"	1
"allanbcool"	1
"allanstakks"	2
"alldefdigital"	1
"alle"	1
"allegation"	1
"allege"	1
"alleged"	27
"allegedly"	12
"allegiance"	2
"alleging"	1
"allen"	13
"allencmarshall"	1
"alleniverson"	1
"allens"	2
"allenswifee"	1
"allenwest"	8
"allergic"	2
"allergies"	1
"allergyal"	1
"allestimenti"	1
"alley"	8
"alleyesnorth"	3
"alleymuzik"	1
"alleyway"	1
"allfetishwelcome"	1
"allforone"	2
"alliancehockey"	1
"allieinmo"	3
"allies"	6
"alligators"	1
"alligned"	1
"allindiaskfc"	1
"alll"	1
"alllivesmatter"	2
"allll"	2
"allllllll"	1
"alllnatty"	1
"allman"	67
"allmanreport"	2
"allmans"	13
"allnyotweets"	1
"allocate"	1
"allone"	1
"alloutbore"	1
"alloutwore"	1
"allow"	26
"allowed"	45
"allowing"	20
"allows"	16
"alloy"	1
"allstar"	2
"allstate"	1
"allthewaythrough"	1
"allthingssassy"	1
"allude"	1
"alluding"	1
"ally"	5
"allydoricci"	1
"almabristol"	1
"almanac"	1
"almighty"	5
"almightyboob"	1
"almightytrop"	1
"almondmilka"	1
"almost"	122
"almostheroicdnd"	1
"alone"	49
"along"	49
"alongside"	7
"alot"	12
"alots"	1
"alotta"	1
"aloud"	2
"alpha"	1
"alphacentarri"	1
"alphagator"	1
"alphaville"	1
"alphecca"	1
"alps"	1
"alqaaa"	1
"alqkdkfdkkskakd"	1
"alquds"	1
"alr"	1
"already"	157
"alright"	14
"alrightlaurxn"	1
"als"	5
"alsassociation"	1
"alsharptonxxxxl"	1
"also"	412
"alt"	4
"altaf"	21
"altafhussain"	2
"altarchery"	1
"altbalaji"	1
"alterbridge"	1
"altercations"	2
"altered"	4
"alternate"	3
"alternative"	9
"alternativefacts"	1
"alternatively"	1
"alternativenews"	1
"alternet"	1
"alterpic"	1
"altfbi"	2
"althedentist"	2
"althomelandsec"	1
"although"	18
"altitude"	1
"altjesus"	1
"altman"	1
"altnewsreporter"	2
"alton"	5
"altoonacurve"	1
"altpnk"	1
"altsplicing"	1
"altumteresa"	1
"alturas"	1
"altuspresssec"	2
"alum"	1
"alumnus"	1
"aluthangal"	1
"alvan"	2
"alvaromorata"	1
"alvoqvrmqg"	1
"always"	238
"alwayscarry"	1
"alwaysinthefight"	1
"alwaysminoz"	1
"alwaysstrapped"	1
"alwayswithleeminho"	6
"aly"	2
"alyankovic"	1
"alycia"	7
"alyciadebnamcarey"	2
"alynzidpto"	1
"alyspereira"	1
"alyssa"	1
"alyssahoeee"	1
"alyssamilano"	8
"ama"	5
"amaalmallik"	1
"amakikwo"	1
"amaliearena"	1
"amanda"	3
"amandabrklyn"	1
"amandadeibert"	2
"amandafoody"	1
"amandalafrenais"	1
"amandareiman"	1
"amandatrecon"	1
"amandeepbhogal"	1
"amarakbaranthony"	3
"amarandagasi"	3
"amarillo"	1
"amaro"	1
"amassed"	1
"amateur"	3
"amateurs"	2
"amaze"	1
"amazed"	4
"amazes"	1
"amazing"	101
"amazingdeals"	1
"amazingleadership"	1
"amazingly"	2
"amazingmemories"	1
"amazlngnature"	1
"amazon"	12
"amazons"	1
"amb"	2
"ambamerica"	5
"ambassadoroptv"	1
"ambatamb"	1
"ambdermer"	1
"amber"	2
"amberrbooker"	5
"amberryyc"	1
"ambidextrous"	1
"ambiguous"	1
"ambition"	1
"ambitious"	2
"amblin"	1
"ambulance"	1
"ambush"	1
"ambushed"	1
"ambushing"	6
"amckmodels"	1
"amco"	2
"amcoranger"	22
"amcrace"	2
"amctheatres"	1
"ame"	2
"ameatgbajt"	1
"amediting"	1
"ameenthebean"	1
"amelia"	2
"ameliapeloquin"	1
"amelie"	1
"amen"	3
"amend"	1
"amended"	3
"amenders"	2
"amendment"	70
"amendments"	2
"america"	126
"americafirst"	2
"american"	2439
"americanexceptionalism"	1
"americanfilm"	1
"americanhorrorstory"	1
"americanhotlips"	4
"americanlaoch"	1
"americanonemaga"	2
"americans"	86
"americas"	1
"americn"	1
"amerikagulag"	1
"amerikangirlbot"	3
"amerikkka"	1
"ameripundit"	2
"ameritrade"	2
"amet"	1
"amethyst"	1
"amg"	2
"amhmed"	1
"amiashort"	2
"amicohoops"	2
"amicuspatriae"	2
"amid"	4
"amielnepomuceno"	3
"amielovesnkotb"	1
"amimercury"	1
"amingad"	1
"aminvcfjlr"	1
"amir"	4
"amirahadaraxxx"	1
"amirite"	1
"amish"	3
"amit"	3
"amitabh"	1
"amitabhbachchan"	1
"amitji"	1
"amityreporter"	1
"amjoyshow"	3
"amkrte"	6
"ammement"	1
"ammendment"	1
"ammo"	36
"ammodrop"	1
"ammoland"	1
"amms"	1
"ammunition"	24
"amnestied"	1
"amnesty"	6
"amnewyork"	1
"amoicvsfdw"	1
"amok"	2
"amoneyresists"	1
"among"	20
"amongst"	5
"amoral"	2
"amoredesign"	1
"amorouspaladins"	1
"amount"	32
"amounts"	2
"amp"	1273
"amplification"	1
"amplified"	1
"amply"	3
"ampm"	1
"ampmgamers"	1
"ampry"	1
"amqlskhwaq"	1
"amqxbjiwps"	1
"amrebellion"	1
"amry"	1
"amstadamage"	1
"amtrporn"	1
"amtrprn"	1
"amuse"	1
"amused"	1
"amusedandhappy"	5
"amusement"	3
"amuses"	1
"amusicphotogmagazine"	2
"amusing"	1
"amusingjonghyun"	1
"amwriting"	1
"amwritingfantasy"	1
"amwsvpeahh"	1
"amxlyfjmvx"	1
"amy"	1
"amymargaretwrig"	1
"amysiskind"	2
"amysydnes"	1
"amythksmkt"	1
"ana"	2
"anacostia"	2
"anacristinnna"	1
"anactorslife"	1
"anadguy"	2
"anagon"	1
"anaheim"	1
"anaheimducks"	3
"anal"	8
"analayst"	1
"anale"	1
"analhole"	1
"anally"	6
"analog"	3
"analogue"	2
"analoguephotography"	1
"analogy"	4
"analyse"	1
"analysis"	2
"analysts"	2
"analytica"	3
"analytics"	3
"anamardoll"	1
"anambra"	1
"anammerch"	1
"anamorphic"	4
"ananavarro"	3
"ananya"	9
"ananyasaavi"	1
"anas"	1
"anatoliaq"	1
"anatomy"	3
"anazingua"	1
"anc"	1
"anchor"	3
"anchorage"	3
"ancient"	2
"ancnews"	2
"ancore"	1
"andddd"	2
"andershald"	1
"anderson"	16
"andersoncooper"	3
"andho"	7
"andhra"	1
"andhrapradesh"	1
"andingodhy"	1
"andosiafair"	2
"andre"	7
"andreandazola"	1
"andreasdotorg"	1
"andreasmeyerzar"	2
"andreaspenco"	4
"andreaurbanfox"	1
"andrejnkv"	1
"andresegers"	1
"andrew"	14
"andrewbartlett"	1
"andrewbowiemp"	1
"andrewcfollett"	1
"andrewdoylecom"	1
"andrewfairbairn"	1
"andrewgalvin"	1
"andrewlseidel"	1
"andrewperloff"	2
"andrewrothman"	1
"andrewsarega"	1
"andrewshim"	1
"andrewwearing"	1
"andrewyontz"	1
"andrinacarroll"	1
"andriod"	1
"android"	26
"androids"	2
"andthe"	1
"andy"	4
"andyblack"	1
"andyblarsen"	2
"andyblueskyz"	1
"andybrackets"	2
"andybrae"	1
"andyglockner"	2
"andygronik"	1
"andyinbrum"	1
"andykluthe"	1
"andylassner"	2
"andyrichter"	1
"andywalterphoto"	1
"anecdotal"	1
"anelibrah"	1
"aneurysm"	1
"anfield"	1
"ang"	3
"angbabaengallergicsawifi"	1
"angeamene"	1
"angel"	4
"angela"	1
"angelatienza"	1
"angeles"	6
"angelkingsbury"	1
"angelneptustar"	1
"angelnorelation"	1
"angeloforchid"	1
"angels"	3
"anger"	26
"angers"	1
"angie"	5
"angienessyo"	2
"angle"	17
"angled"	1
"angles"	6
"angolodicasa"	1
"angriestpat"	1
"angry"	52
"angryandasian"	1
"angryblacklady"	3
"angrygay"	1
"angrynatlpark"	1
"anguish"	2
"anhsbqqigv"	1
"ani"	1
"anilravipudis"	2
"animal"	32
"animalright"	1
"animalrights"	1
"animals"	46
"animalsaus"	2
"animalsofafrica"	1
"animalwarriores"	2
"animated"	4
"animation"	2
"anime"	4
"animosity"	1
"anjaxbreaking"	2
"anka"	1
"ankle"	12
"anmatt"	1
"anmhurxnpm"	1
"anmmag"	1
"ann"	22
"anna"	1
"annabelevelyn"	1
"annahorford"	1
"annalovestrump"	1
"annanonotnow"	1
"annarogolo"	1
"anncoulter"	23
"anncoulters"	2
"anne"	1
"annecarpenterxx"	2
"annecrystal"	1
"annecurtissmith"	2
"annettekelley"	3
"annexing"	1
"anngalliyahoo"	1
"annie"	2
"annieaskreb"	1
"anniefreyshow"	1
"annieleibovitz"	1
"annietrev"	1
"annihilate"	1
"anniversary"	17
"annkelly"	1
"annmarsh"	2
"annndd"	1
"annotations"	1
"announce"	30
"announced"	14
"announcement"	3
"announcer"	3
"announcers"	2
"announces"	7
"announcing"	2
"annoy"	1
"annoyed"	5
"annoying"	19
"annoys"	2
"annpmifvch"	1
"annual"	4
"annually"	2
"annzyltn"	1
"ano"	1
"anomaly"	2
"anon"	2
"anondecoder"	1
"anonymity"	2
"anonymous"	3
"anonymousada"	3
"anonymously"	2
"anonymuspersona"	1
"another"	340
"anothernewpb"	1
"ans"	2
"ansari"	1
"answat"	1
"answer"	43
"answered"	1
"answering"	1
"answers"	16
"ant"	7
"antasma"	1
"anteksiler"	7
"antelopes"	1
"anthconey"	3
"anthem"	1
"anthony"	153
"anthonyborges"	22
"anthonydseattle"	1
"anthonyfjoshua"	1
"anthonygoncalvesag"	1
"anthonylfisher"	1
"anthonylgargano"	1
"anthonysmdoyle"	1
"anti"	133
"antibiotics"	1
"antibossifred"	1
"anticapate"	1
"antichrist"	2
"anticipate"	1
"anticipation"	1
"antics"	1
"antidepressants"	2
"antifa"	7
"antigun"	2
"antigunviolence"	1
"antiherokate"	1
"antioch"	1
"antipolice"	1
"antiquepolice"	1
"antiquities"	1
"antis"	1
"antisemitic"	5
"antisemitism"	1
"antisocialstpac"	1
"antithesis"	3
"antivist"	1
"antiwar"	1
"antleredaries"	1
"antlers"	1
"antoine"	1
"anton"	1
"antonio"	3
"antoniodelotero"	1
"antonmnsson"	1
"antontabuena"	1
"ants"	1
"antunnadu"	1
"anuj"	1
"anupamaarmy"	2
"anupamahere"	3
"anus"	1
"anushkasharma"	4
"anustesiology"	1
"anvflpzghu"	1
"anviouk"	1
"anvseqglqm"	1
"anwaribrahim"	1
"anxiety"	40
"anxious"	3
"anxiousabrina"	1
"anybody"	34
"anyday"	2
"anyhow"	1
"anymore"	44
"anymorr"	1
"anyone"	236
"anything"	185
"anythings"	1
"anytime"	6
"anyway"	23
"anyways"	12
"anywhere"	34
"aoddhxpyvf"	1
"aodespair"	2
"aoeyarirls"	1
"aogbxuyjwp"	1
"aoi"	2
"aojqufhvvs"	1
"aokuro"	1
"aoodhan"	3
"aoszjrroex"	1
"ap"	78
"aparnathi"	1
"aparrently"	1
"apart"	23
"apartheid"	6
"apartheidisrael"	1
"aparthied"	1
"apartment"	11
"apartments"	5
"apbknvuoml"	1
"apc"	1
"apd"	2
"apdemandsspecialstatus"	1
"apeiwrynzx"	1
"apes"	2
"apex"	3
"apexnibbler"	1
"apfisqsoed"	1
"apg"	6
"apgujeon"	1
"aphkpmahvo"	1
"aphrodite"	2
"aphroditesstl"	1
"aphroditestl"	18
"aping"	1
"apk"	7
"apkcrusher"	1
"apkmod"	1
"apl"	3
"apla"	1
"aplayersprogram"	1
"apna"	1
"apo"	1
"apocalypse"	3
"apoezpinrk"	1
"apologies"	5
"apologise"	1
"apologised"	1
"apologising"	1
"apologist"	1
"apologists"	2
"apologize"	9
"apologized"	4
"apologizes"	3
"apology"	8
"apopka"	1
"apos"	11
"aposttrumpworld"	1
"app"	38
"appalled"	2
"appalling"	9
"apparent"	12
"apparently"	48
"appeal"	6
"appealing"	3
"appeals"	1
"appear"	10
"appearance"	9
"appeared"	10
"appears"	13
"appease"	1
"appeasing"	1
"appetit"	1
"appetite"	2
"applaud"	5
"applauding"	2
"applause"	1
"apple"	10
"applebees"	6
"applegate"	1
"appleinsider"	1
"applemusic"	1
"apples"	3
"applewebdata"	1
"appliances"	1
"applicable"	1
"application"	11
"applications"	1
"applied"	11
"applies"	7
"apply"	15
"applying"	1
"appointed"	4
"appointment"	2
